id_subsistema,id_estado,nom_localizacao,nom_tipousina,val_geracaoprogramada,val_geracaoverificada,val_capacidadeinstalada,val_fatorcapacidade,data
NE,CE,Litoral,Eólica,44.5,21.04,54.6,0.3853479853479853,2009-07-03
NE,CE,Litoral,Eólica,86.0,97.249,105.0,0.9261809523809524,2009-07-03
NE,RN,Litoral,Eólica,0.0,40.629,51.0,0.7966470588235294,2009-07-03
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-03
S,RS,,Eólica,0.0,8.501,70.0,0.1214428571428571,2009-07-03
NE,CE,Litoral,Eólica,46.0,25.014,54.6,0.4581318681318681,2009-07-03
NE,CE,Litoral,Eólica,91.5,97.567,105.0,0.9292095238095238,2009-07-03
NE,RN,Litoral,Eólica,0.0,43.6,51.0,0.8549019607843137,2009-07-04
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-04
S,RS,,Eólica,0.0,10.116,70.0,0.1445142857142857,2009-07-04
NE,CE,Litoral,Eólica,45.5,25.341,54.6,0.4641208791208791,2009-07-04
NE,CE,Litoral,Eólica,90.0,95.475,105.0,0.9092857142857143,2009-07-04
NE,RN,Litoral,Eólica,0.0,43.417,51.0,0.851313725490196,2009-07-04
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-04
S,RS,,Eólica,0.0,14.53,70.0,0.2075714285714285,2009-07-04
NE,CE,Litoral,Eólica,47.5,23.801,54.6,0.4359157509157509,2009-07-04
NE,CE,Litoral,Eólica,92.0,95.28,105.0,0.9074285714285714,2009-07-04
NE,RN,Litoral,Eólica,0.0,42.8,51.0,0.8392156862745098,2009-07-04
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-04
S,RS,,Eólica,0.0,10.492,70.0,0.1498857142857142,2009-07-04
NE,CE,Litoral,Eólica,48.5,24.227,54.6,0.4437179487179487,2009-07-04
NE,CE,Litoral,Eólica,97.0,92.205,105.0,0.8781428571428571,2009-07-04
NE,RN,Litoral,Eólica,0.0,42.722,51.0,0.8376862745098039,2009-07-04
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-04
S,RS,,Eólica,0.0,7.764,70.0,0.1109142857142857,2009-07-04
